,precision,recall,f1-score,support
Clean,0.8532706902782797,0.8780215693566381,0.8654692082111437,8067.0
Noise,0.7284768211920529,0.6842923794712286,0.7056936647955092,3858.0
accuracy,0.8153459119496855,0.8153459119496855,0.8153459119496855,0.8153459119496855
macro avg,0.7908737557351664,0.7811569744139333,0.7855814365033265,11925.0
weighted avg,0.8128971265940312,0.8153459119496855,0.8137783028444755,11925.0
