,precision,recall,f1-score,support
Clean,0.8993368700265252,0.8405850997892649,0.8689690523483052,8067.0
Noise,0.70672748004561,0.8032659409020217,0.751910712119374,3858.0
accuracy,0.8285115303983228,0.8285115303983228,0.8285115303983228,0.8285115303983228
macro avg,0.8030321750360676,0.8219255203456433,0.8104398822338397,11925.0
weighted avg,0.83702349253836,0.8285115303983228,0.8310981025283289,11925.0
