,precision,recall,f1-score,support
Clean,0.8773375984251969,0.8839717367050949,0.8806421735103427,8067.0
Noise,0.7534895970503028,0.7415759460860549,0.7474853037230568,3858.0
accuracy,0.8379035639412998,0.8379035639412998,0.8379035639412998,0.8379035639412998
macro avg,0.8154135977377499,0.812773841395575,0.8140637386166998,11925.0
weighted avg,0.8372700437665519,0.8379035639412998,0.8375629950080912,11925.0
